Activity,Frequency,Relative frequency
01_HOOFD_010-complete,"1,052",2.22 %
01_HOOFD_015-complete,"1,052",2.22 %
01_HOOFD_020-complete,"1,051",2.22 %
01_HOOFD_180-complete,"1,023",2.16 %
01_HOOFD_065_1-complete,"1,005",2.13 %
01_HOOFD_065_2-complete,944,2 %
01_HOOFD_200-complete,912,1.93 %
09_AH_I_010-complete,877,1.85 %
01_HOOFD_380-complete,877,1.85 %
01_HOOFD_375-complete,870,1.84 %
01_HOOFD_490_1-complete,869,1.84 %
01_HOOFD_510_1-complete,857,1.81 %
01_HOOFD_510_2-complete,857,1.81 %
01_HOOFD_490_2-complete,842,1.78 %
01_HOOFD_480-complete,797,1.69 %
01_HOOFD_430-complete,791,1.67 %
01_HOOFD_330-complete,788,1.67 %
01_HOOFD_370-complete,776,1.64 %
01_HOOFD_195-complete,750,1.59 %
04_BPT_005-complete,722,1.53 %
01_HOOFD_011-complete,722,1.53 %
02_DRZ_010-complete,721,1.52 %
03_GBH_005-complete,705,1.49 %
01_HOOFD_495-complete,704,1.49 %
01_BB_540-complete,635,1.34 %
11_AH_II_010-complete,627,1.33 %
08_AWB45_005-complete,624,1.32 %
01_HOOFD_491-complete,571,1.21 %
01_HOOFD_065_0-complete,541,1.14 %
01_HOOFD_500-complete,536,1.13 %
01_HOOFD_110_0-complete,525,1.11 %
01_HOOFD_061-complete,520,1.1 %
01_HOOFD_490_4-complete,495,1.05 %
01_HOOFD_110-complete,465,0.98 %
01_HOOFD_510_3-complete,461,0.97 %
01_HOOFD_515-complete,461,0.97 %
01_HOOFD_510_4-complete,458,0.97 %
01_HOOFD_490_5-complete,453,0.96 %
01_HOOFD_120-complete,451,0.95 %
01_BB_770-complete,450,0.95 %
01_HOOFD_050-complete,440,0.93 %
13_CRD_010-complete,435,0.92 %
01_HOOFD_490_1a-complete,435,0.92 %
01_HOOFD_510_0-complete,427,0.9 %
01_HOOFD_494a-complete,425,0.9 %
01_HOOFD_510_2a-complete,423,0.89 %
01_HOOFD_490_5a-complete,422,0.89 %
01_HOOFD_520-complete,406,0.86 %
01_HOOFD_250_2-complete,400,0.85 %
01_HOOFD_250_1-complete,398,0.84 %
01_HOOFD_530-complete,394,0.83 %
01_HOOFD_250-complete,381,0.81 %
05_EIND_010-complete,379,0.8 %
01_HOOFD_260-complete,375,0.79 %
16_LGSV_010-complete,372,0.79 %
01_HOOFD_100-complete,354,0.75 %
01_BB_775-complete,335,0.71 %
16_LGSD_010-complete,332,0.7 %
01_HOOFD_040-complete,325,0.69 %
06_VD_010-complete,320,0.68 %
01_HOOFD_060-complete,317,0.67 %
01_HOOFD_809-complete,316,0.67 %
01_HOOFD_101-complete,312,0.66 %
01_HOOFD_490_3-complete,291,0.62 %
01_HOOFD_196-complete,289,0.61 %
01_HOOFD_470-complete,254,0.54 %
01_HOOFD_090-complete,253,0.53 %
01_HOOFD_130-complete,244,0.52 %
01_HOOFD_519-complete,227,0.48 %
01_HOOFD_809c-complete,211,0.45 %
07_OPS_010-complete,206,0.44 %
01_HOOFD_270-complete,205,0.43 %
01_HOOFD_205-complete,203,0.43 %
08_AWB45_010-complete,195,0.41 %
08_AWB45_020_1-complete,191,0.4 %
08_AWB45_020_2-complete,190,0.4 %
08_AWB45_030-complete,176,0.37 %
14_VRIJ_010-complete,159,0.34 %
01_HOOFD_190-complete,148,0.31 %
08_AWB45_040-complete,147,0.31 %
09_AWB45_005-complete,146,0.31 %
01_HOOFD_030_1-complete,125,0.26 %
04_BPT_020-complete,123,0.26 %
01_HOOFD_030_2-complete,123,0.26 %
04_BPT_030-complete,116,0.25 %
04_BPT_010-complete,110,0.23 %
08_AWB45_025-complete,109,0.23 %
01_HOOFD_250_0-complete,102,0.22 %
99_NOCODE_02-complete,101,0.21 %
08_AWB45_020_0-complete,88,0.19 %
01_HOOFD_540-complete,87,0.18 %
01_HOOFD_440_1-complete,85,0.18 %
01_HOOFD_440_2-complete,85,0.18 %
01_HOOFD_460-complete,85,0.18 %
01_HOOFD_465-complete,85,0.18 %
01_HOOFD_445-complete,85,0.18 %
01_HOOFD_190_1-complete,85,0.18 %
10_UOV_010-complete,84,0.18 %
10_UOV_050_2-complete,84,0.18 %
10_UOV_030-complete,84,0.18 %
08_AWB45_045-complete,83,0.18 %
10_UOV_050_1-complete,82,0.17 %
01_HOOFD_811-complete,81,0.17 %
08_AWB45_051_0-complete,81,0.17 %
01_HOOFD_190_2-complete,81,0.17 %
01_HOOFD_193-complete,79,0.17 %
10_UOV_060-complete,78,0.16 %
01_BB_630-complete,78,0.16 %
05_EIND_020-complete,76,0.16 %
01_HOOFD_446-complete,75,0.16 %
04_BPT_029-complete,67,0.14 %
04_BPT_021-complete,67,0.14 %
01_HOOFD_516-complete,67,0.14 %
01_HOOFD_810-complete,65,0.14 %
01_BB_765-complete,60,0.13 %
01_HOOFD_455-complete,58,0.12 %
01_HOOFD_450-complete,58,0.12 %
05_EIND_065-complete,55,0.12 %
01_HOOFD_110_2-complete,54,0.11 %
01_HOOFD_820-complete,49,0.1 %
01_HOOFD_100_0-complete,49,0.1 %
10_UOV_050_3-complete,47,0.1 %
06_VD_020-complete,46,0.1 %
06_VD_030_2-complete,46,0.1 %
06_VD_030_1-complete,46,0.1 %
15_NGV_010-complete,45,0.1 %
05_EIND_030_1-complete,44,0.09 %
01_HOOFD_110_1-complete,43,0.09 %
10_UOV_039-complete,43,0.09 %
01_HOOFD_800-complete,42,0.09 %
10_UOV_040-complete,42,0.09 %
05_EIND_030_2-complete,41,0.09 %
05_EIND_025-complete,40,0.08 %
10_UOV_045-complete,37,0.08 %
01_HOOFD_012-complete,35,0.07 %
01_HOOFD_440_1a-complete,35,0.07 %
10_UOV_050_0-complete,35,0.07 %
01_HOOFD_460a-complete,35,0.07 %
01_HOOFD_459-complete,35,0.07 %
10_UOV_050_2a-complete,35,0.07 %
10_UOV_030a-complete,35,0.07 %
05_EIND_030_0-complete,35,0.07 %
01_HOOFD_790-complete,35,0.07 %
08_AWB45_170-complete,35,0.07 %
06_VD_060_2-complete,34,0.07 %
08_AWB45_060-complete,33,0.07 %
10_UOV_050_4-complete,32,0.07 %
06_VD_060_3-complete,30,0.06 %
06_VD_035-complete,30,0.06 %
06_VD_030_4-complete,30,0.06 %
06_VD_030_5-complete,30,0.06 %
10_UOV_035-complete,30,0.06 %
01_HOOFD_516a-complete,30,0.06 %
99_NOCODE_01-complete,29,0.06 %
08_AWB45_070_2-complete,29,0.06 %
08_AWB45_070_1-complete,29,0.06 %
10_UOV_180-complete,29,0.06 %
03_VD_060_0-complete,28,0.06 %
06_VD_030_1a-complete,28,0.06 %
06_VD_060_2a-complete,28,0.06 %
06_VD_030_5a-complete,28,0.06 %
01_HOOFD_099-complete,28,0.06 %
05_EIND_011-complete,27,0.06 %
08_AWB45_090_2-complete,27,0.06 %
04_BPT_040-complete,26,0.05 %
