Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
1-364285768,17,Variant 345,345,01.04.2010 00:59:42,11.05.2012 09:26:15,"2 years, 41 days",66644793000
1-467153946,40,Variant 346,346,31.01.2011 20:12:22,23.05.2012 09:22:25,"1 year, 112 days",41260203000
1-503573772,17,Variant 347,347,25.02.2011 01:17:46,12.05.2012 09:21:31,"1 year, 77 days",38217825000
1-504538555,19,Variant 348,348,28.02.2011 23:13:33,12.05.2012 09:21:30,"1 year, 73 days",37879677000
1-506071646,62,Variant 349,349,07.03.2011 19:42:08,12.05.2012 09:21:30,"1 year, 66 days",37287562000
1-512795200,32,Variant 350,350,05.04.2011 00:51:24,10.05.2012 09:20:47,"1 year, 36 days",34676963000
1-516553982,21,Variant 351,351,14.04.2011 00:04:32,12.05.2012 09:21:30,"1 year, 29 days",34075018000
1-522528740,14,Variant 201,201,03.05.2011 17:42:21,12.05.2012 09:21:29,"1 year, 9 days",32369948000
1-523391859,8,Variant 271,271,05.05.2011 23:47:54,04.05.2012 09:21:11,"364 days, 9 hours",31483997000
1-529067006,19,Variant 352,352,26.05.2011 23:57:29,12.05.2012 09:21:29,"351 days, 9 hours",30360240000
1-529096847,52,Variant 353,353,27.05.2011 02:01:53,12.05.2012 09:21:29,"351 days, 7 hours",30352776000
1-530458987,31,Variant 354,354,01.06.2011 17:55:53,12.05.2012 09:21:29,"345 days, 15 hours",29863536000
1-530772502,14,Variant 196,196,02.06.2011 17:22:45,12.05.2012 09:21:29,"344 days, 15 hours",29779124000
1-530838254,43,Variant 355,355,03.06.2011 01:17:44,12.05.2012 09:21:28,"344 days, 8 hours",29750624000
1-532109338,21,Variant 356,356,08.06.2011 22:58:15,12.05.2012 09:21:28,"338 days, 10 hours",29240593000
1-536444735,14,Variant 357,357,24.06.2011 22:23:13,12.05.2012 09:21:28,"322 days, 10 hours",27860295000
1-536481337,20,Variant 358,358,24.06.2011 23:58:54,12.05.2012 09:21:28,"322 days, 9 hours",27854554000
1-537219938,19,Variant 359,359,28.06.2011 20:35:39,12.05.2012 09:21:28,"318 days, 12 hours",27521149000
