Activity,Frequency,Relative frequency
01_HOOFD_010-complete,"1,409",2.36 %
01_HOOFD_015-complete,"1,409",2.36 %
01_HOOFD_020-complete,"1,408",2.36 %
01_HOOFD_030_1-complete,"1,351",2.26 %
01_HOOFD_030_2-complete,"1,316",2.21 %
01_HOOFD_180-complete,"1,312",2.2 %
09_AH_I_010-complete,"1,238",2.07 %
01_HOOFD_380-complete,"1,236",2.07 %
01_HOOFD_375-complete,"1,231",2.06 %
01_HOOFD_200-complete,"1,194",2 %
01_HOOFD_490_1-complete,"1,146",1.92 %
01_HOOFD_490_2-complete,"1,107",1.85 %
01_HOOFD_330-complete,"1,105",1.85 %
01_HOOFD_510_2-complete,"1,061",1.78 %
01_HOOFD_430-complete,"1,059",1.77 %
01_HOOFD_480-complete,"1,059",1.77 %
01_HOOFD_510_1-complete,"1,050",1.76 %
01_HOOFD_370-complete,"1,049",1.76 %
01_HOOFD_195-complete,971,1.63 %
08_AWB45_005-complete,949,1.59 %
01_HOOFD_011-complete,938,1.57 %
04_BPT_005-complete,913,1.53 %
03_GBH_005-complete,909,1.52 %
01_HOOFD_495-complete,896,1.5 %
02_DRZ_010-complete,884,1.48 %
11_AH_II_010-complete,765,1.28 %
01_HOOFD_500-complete,745,1.25 %
01_HOOFD_491-complete,730,1.22 %
01_HOOFD_061-complete,705,1.18 %
01_HOOFD_065_1-complete,700,1.17 %
01_HOOFD_490_4-complete,685,1.15 %
01_HOOFD_490_5-complete,638,1.07 %
01_HOOFD_065_0-complete,631,1.06 %
01_HOOFD_110_0-complete,620,1.04 %
01_HOOFD_510_3-complete,607,1.02 %
01_HOOFD_515-complete,606,1.02 %
01_HOOFD_065_2-complete,600,1.01 %
01_HOOFD_510_4-complete,591,0.99 %
01_HOOFD_250_2-complete,574,0.96 %
01_HOOFD_250_1-complete,572,0.96 %
01_HOOFD_110-complete,552,0.92 %
01_HOOFD_120-complete,548,0.92 %
01_HOOFD_490_1a-complete,543,0.91 %
01_HOOFD_494a-complete,535,0.9 %
01_HOOFD_490_5a-complete,531,0.89 %
01_HOOFD_510_0-complete,524,0.88 %
13_CRD_010-complete,501,0.84 %
01_HOOFD_510_2a-complete,487,0.82 %
01_HOOFD_100-complete,485,0.81 %
01_HOOFD_250-complete,478,0.8 %
01_HOOFD_260-complete,476,0.8 %
01_HOOFD_050-complete,471,0.79 %
05_EIND_010-complete,449,0.75 %
06_VD_010-complete,438,0.73 %
01_HOOFD_040-complete,435,0.73 %
01_HOOFD_060-complete,423,0.71 %
01_HOOFD_196-complete,409,0.69 %
01_HOOFD_490_3-complete,397,0.67 %
01_HOOFD_470-complete,357,0.6 %
01_HOOFD_520-complete,326,0.55 %
01_HOOFD_130-complete,317,0.53 %
01_HOOFD_205-complete,317,0.53 %
08_AWB45_010-complete,308,0.52 %
01_HOOFD_090-complete,304,0.51 %
01_HOOFD_530-complete,297,0.5 %
08_AWB45_020_1-complete,292,0.49 %
08_AWB45_020_2-complete,290,0.49 %
01_HOOFD_270-complete,278,0.47 %
08_AWB45_030-complete,276,0.46 %
01_HOOFD_519-complete,259,0.43 %
01_HOOFD_101-complete,256,0.43 %
08_AWB45_040-complete,231,0.39 %
01_HOOFD_110_2-complete,226,0.38 %
01_HOOFD_110_1-complete,225,0.38 %
08_AWB45_025-complete,210,0.35 %
01_HOOFD_190-complete,197,0.33 %
14_VRIJ_010-complete,193,0.32 %
07_OPS_010-complete,189,0.32 %
01_HOOFD_250_0-complete,189,0.32 %
08_AWB45_045-complete,167,0.28 %
01_HOOFD_190_1-complete,166,0.28 %
01_HOOFD_190_2-complete,157,0.26 %
01_HOOFD_516-complete,150,0.25 %
04_BPT_020-complete,149,0.25 %
08_AWB45_051_0-complete,146,0.24 %
04_BPT_030-complete,142,0.24 %
04_BPT_010-complete,134,0.22 %
08_AWB45_020_0-complete,134,0.22 %
09_AWB45_005-complete,125,0.21 %
01_HOOFD_440_1-complete,119,0.2 %
01_HOOFD_440_2-complete,118,0.2 %
01_HOOFD_445-complete,118,0.2 %
01_HOOFD_540-complete,115,0.19 %
01_HOOFD_193-complete,114,0.19 %
01_HOOFD_460-complete,111,0.19 %
01_HOOFD_465-complete,111,0.19 %
10_UOV_010-complete,106,0.18 %
15_NGV_010-complete,103,0.17 %
01_HOOFD_099-complete,100,0.17 %
01_HOOFD_446-complete,99,0.17 %
12_AP_010-complete,93,0.16 %
01_HOOFD_450-complete,92,0.15 %
01_HOOFD_455-complete,86,0.14 %
10_UOV_050_2-complete,85,0.14 %
10_UOV_060-complete,81,0.14 %
10_UOV_030-complete,79,0.13 %
10_UOV_050_1-complete,73,0.12 %
12_AP_030-complete,69,0.12 %
04_BPT_029-complete,69,0.12 %
04_BPT_021-complete,69,0.12 %
12_AP_011-complete,67,0.11 %
12_AP_020_1-complete,66,0.11 %
08_AWB45_060-complete,64,0.11 %
12_AP_020_2-complete,64,0.11 %
12_AP_025-complete,63,0.11 %
12_AP_050-complete,61,0.1 %
10_UOV_040-complete,59,0.1 %
12_AP_020_0-complete,54,0.09 %
06_VD_020-complete,53,0.09 %
06_VD_030_2-complete,52,0.09 %
06_VD_030_1-complete,52,0.09 %
08_AWB45_070_1-complete,51,0.09 %
12_AP_055-complete,51,0.09 %
12_AP_060-complete,51,0.09 %
08_AWB45_070_2-complete,48,0.08 %
01_HOOFD_440_1a-complete,48,0.08 %
10_UOV_045-complete,46,0.08 %
01_HOOFD_460a-complete,46,0.08 %
01_HOOFD_459-complete,46,0.08 %
11_AH_II_030-complete,40,0.07 %
11_AH_II_020-complete,40,0.07 %
01_BB_770-complete,39,0.07 %
01_BB_540-complete,39,0.07 %
11_AH_II_040-complete,39,0.07 %
11_AH_II_070_2-complete,39,0.07 %
11_AH_II_130-complete,39,0.07 %
11_AH_II_036-complete,38,0.06 %
11_AH_II_037_1-complete,38,0.06 %
11_AH_II_037_2-complete,38,0.06 %
11_AH_II_070_1-complete,38,0.06 %
10_UOV_050_3-complete,38,0.06 %
01_HOOFD_810-complete,37,0.06 %
06_VD_060_2-complete,36,0.06 %
10_UOV_039-complete,36,0.06 %
01_HOOFD_790-complete,35,0.06 %
08_AWB45_170-complete,34,0.06 %
06_VD_030_3-complete,34,0.06 %
08_AWB45_090_2-complete,33,0.06 %
10_UOV_180-complete,33,0.06 %
01_HOOFD_516a-complete,33,0.06 %
01_HOOFD_451-complete,32,0.05 %
11_AH_II_035-complete,32,0.05 %
06_VD_030_4-complete,32,0.05 %
10_UOV_035-complete,31,0.05 %
06_VD_035-complete,31,0.05 %
06_VD_060_3-complete,31,0.05 %
10_UOV_030a-complete,31,0.05 %
10_UOV_050_0-complete,31,0.05 %
11_AH_II_140-complete,30,0.05 %
11_AH_II_145-complete,30,0.05 %
10_UOV_050_2a-complete,30,0.05 %
01_HOOFD_820-complete,28,0.05 %
06_VD_030_1a-complete,28,0.05 %
08_AWB45_070_1a-complete,27,0.05 %
06_VD_060_2a-complete,27,0.05 %
03_VD_060_0-complete,27,0.05 %
01_HOOFD_532-complete,25,0.04 %
11_AH_II_040_d-complete,25,0.04 %
01_HOOFD_811-complete,25,0.04 %
08_AWB45_070_3-complete,24,0.04 %
11_AH_II_040c-complete,24,0.04 %
11_AH_II_070_3a-complete,24,0.04 %
11_AH_II_040b-complete,24,0.04 %
11_AH_II_040a-complete,24,0.04 %
11_AH_II_070_3-complete,24,0.04 %
05_EIND_020-complete,23,0.04 %
08_AWB45_090_1-complete,23,0.04 %
01_HOOFD_814-complete,23,0.04 %
01_HOOFD_809-complete,23,0.04 %
06_VD_060-complete,22,0.04 %
08_AWB45_070_4-complete,22,0.04 %
08_AWB45_050-complete,21,0.04 %
01_HOOFD_815-complete,21,0.04 %
06_VD_070-complete,20,0.03 %
07_OPS_020-complete,20,0.03 %
01_HOOFD_101b-complete,20,0.03 %
01_BB_630-complete,19,0.03 %
08_AWB45_075-complete,18,0.03 %
10_UOV_050_4-complete,18,0.03 %
01_BB_775-complete,17,0.03 %
06_VD_030_5-complete,17,0.03 %
08_AWB45_110-complete,16,0.03 %
06_VD_060_1-complete,16,0.03 %
07_OPS_050-complete,16,0.03 %
04_BPT_040-complete,16,0.03 %
04_BPT_060-complete,16,0.03 %
08_AWB45_070_5-complete,16,0.03 %
01_HOOFD_100_0-complete,16,0.03 %
08_AWB45_090_0-complete,16,0.03 %
06_VD_030_5a-complete,16,0.03 %
05_EIND_030_2-complete,15,0.03 %
05_EIND_030_1-complete,15,0.03 %
01_HOOFD_420-complete,15,0.03 %
07_OPS_070-complete,15,0.03 %
08_AWB45_090_3-complete,15,0.03 %
01_HOOFD_809b-complete,15,0.03 %
10_UOV_041b-complete,15,0.03 %
05_EIND_025-complete,15,0.03 %
05_EIND_030_0-complete,15,0.03 %
04_BPT_009-complete,15,0.03 %
08_AWB45_150-complete,14,0.02 %
10_UOV_070-complete,14,0.02 %
10_UOV_080-complete,14,0.02 %
10_UOV_120-complete,14,0.02 %
07_OPS_060_1-complete,14,0.02 %
07_OPS_055-complete,14,0.02 %
08_AWB45_090_2a-complete,14,0.02 %
05_EIND_011-complete,14,0.02 %
12_AP_UOV_010-complete,13,0.02 %
01_HOOFD_191-complete,13,0.02 %
08_AWB45_070_5a-complete,13,0.02 %
10_UOV_100-complete,12,0.02 %
01_HOOFD_192-complete,12,0.02 %
01_HOOFD_410_0-complete,12,0.02 %
05_EIND_065-complete,12,0.02 %
01_HOOFD_170-complete,11,0.02 %
01_HOOFD_390-complete,11,0.02 %
10_UOV_065-complete,11,0.02 %
07_OPS_060_2-complete,11,0.02 %
06_VD_030_3a-complete,11,0.02 %
01_HOOFD_055-complete,10,0.02 %
