Activity,Frequency,Relative frequency
01_HOOFD_180-complete,"1,161",1.97 %
01_HOOFD_020-complete,"1,155",1.95 %
01_HOOFD_015-complete,"1,155",1.95 %
01_HOOFD_010-complete,"1,154",1.95 %
01_HOOFD_030_1-complete,"1,098",1.86 %
01_HOOFD_030_2-complete,"1,077",1.82 %
01_HOOFD_200-complete,"1,039",1.76 %
09_AH_I_010-complete,987,1.67 %
01_HOOFD_380-complete,987,1.67 %
01_HOOFD_375-complete,987,1.67 %
01_HOOFD_490_1-complete,974,1.65 %
01_HOOFD_510_2-complete,965,1.63 %
01_HOOFD_510_1-complete,957,1.62 %
01_HOOFD_490_2-complete,942,1.59 %
01_HOOFD_480-complete,899,1.52 %
01_HOOFD_430-complete,896,1.52 %
05_EIND_010-complete,888,1.5 %
01_HOOFD_330-complete,885,1.5 %
01_HOOFD_370-complete,833,1.41 %
01_HOOFD_195-complete,793,1.34 %
01_HOOFD_011-complete,779,1.32 %
04_BPT_005-complete,776,1.31 %
08_AWB45_005-complete,773,1.31 %
02_DRZ_010-complete,769,1.3 %
01_BB_770-complete,752,1.27 %
01_HOOFD_495-complete,747,1.26 %
03_GBH_005-complete,713,1.21 %
01_BB_540-complete,707,1.2 %
11_AH_II_010-complete,671,1.14 %
01_HOOFD_491-complete,637,1.08 %
01_HOOFD_065_2-complete,627,1.06 %
01_HOOFD_065_1-complete,626,1.06 %
01_HOOFD_500-complete,588,1 %
01_HOOFD_110-complete,568,0.96 %
01_HOOFD_810-complete,564,0.95 %
01_HOOFD_061-complete,560,0.95 %
01_HOOFD_120-complete,560,0.95 %
01_HOOFD_050-complete,559,0.95 %
14_VRIJ_010-complete,539,0.91 %
01_HOOFD_820-complete,538,0.91 %
01_HOOFD_490_4-complete,531,0.9 %
01_HOOFD_065_0-complete,524,0.89 %
01_HOOFD_250_2-complete,504,0.85 %
01_HOOFD_250_1-complete,504,0.85 %
01_HOOFD_510_3-complete,503,0.85 %
01_HOOFD_515-complete,503,0.85 %
01_HOOFD_490_5-complete,502,0.85 %
01_HOOFD_510_4-complete,494,0.84 %
01_HOOFD_110_0-complete,491,0.83 %
06_VD_010-complete,489,0.83 %
01_HOOFD_100-complete,473,0.8 %
